name,club,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,age_cat,club_id,big_club,new_signing
Michael Hefele,Huddersfield,26,CB,3,1.5,116,4.5,0.20%,0,2.0,Germany,0,3,8,0,0
N%27Golo Kante,Chelsea,26,DM,2,50.0,4042,5.0,13.80%,83,2.0,France,0,3,5,1,1
Marcos Alonso Mendoza,Chelsea,26,LB,3,25.0,3069,7.0,12.40%,177,2.0,Spain,0,3,5,1,1
Sam Baldock,Brighton+and+Hove,28,CF,1,3.0,204,5.0,0.20%,0,1.0,England,0,4,3,0,0
Kristoffer Nordfeldt,Swansea,28,GK,4,1.5,82,4.0,1.70%,3,2.0,Sweden,0,4,16,0,0
Boaz Myhill,West+Brom,34,GK,4,1.5,100,4.0,5.30%,0,2.0,Wales,0,6,19,0,0
Xherdan Shaqiri,Stoke+City,25,RW,1,15.0,1000,6.0,3.20%,80,2.0,Switzerland,0,3,15,0,0
Shane Duffy,Brighton+and+Hove,25,CB,3,5.0,243,4.5,0.60%,0,2.0,Ireland,0,3,3,0,0
DeAndre Yedlin,Newcastle+United,24,RB,3,5.0,764,4.5,5.20%,0,3.0,United States,0,2,13,0,0
Scott Arfield,Burnley,28,LM,2,3.0,304,5.0,0.10%,69,3.0,Canada,0,4,4,0,0
Ashley Barnes,Burnley,27,CF,1,2.5,287,5.5,1.20%,81,1.0,England,0,3,4,0,0
Ashley Westwood,Burnley,27,DM,2,4.0,161,4.5,0.10%,13,1.0,England,0,3,4,0,0
Ã€ngel Rangel,Swansea,34,RB,3,1.0,137,4.0,18.80%,26,2.0,Spain,0,6,16,0,0
Erik Pieters,Stoke+City,28,LB,3,7.0,134,5.0,1.30%,103,2.0,Netherlands,0,4,15,0,0
Petr Cech,Arsenal,35,GK,4,7.0,1529,5.5,5.90%,134,2.0,Czech Republic,0,6,1,1,0
Aleksandar Mitrovic,Newcastle+United,22,CF,1,10.0,781,5.0,2.50%,0,2.0,Serbia,0,2,13,0,0
Liam Rosenior,Brighton+and+Hove,33,RB,3,1.0,132,4.0,3.20%,0,1.0,England,0,5,3,0,0
Jordan Pickford,Everton,23,GK,4,15.0,719,5.0,14.60%,102,1.0,England,0,2,7,0,0
Wayne Hennessey,Crystal+Palace,30,GK,4,4.0,242,4.5,2.10%,92,2.0,Wales,0,4,6,0,0
Georginio Wijnaldum,Liverpool,26,CM,2,28.0,1280,7.0,7.10%,149,2.0,Netherlands,0,3,10,1,1
Nicolas Otamendi,Manchester+City,29,CB,3,30.0,621,5.5,3.30%,100,3.0,Argentina,0,4,11,1,0
Harry Kane,Tottenham,23,CF,1,60.0,4161,12.5,35.10%,224,1.0,England,0,2,17,1,0
Marc Muniesa,Stoke+City,25,CB,3,3.0,172,4.5,0.20%,34,2.0,Spain,0,3,15,0,0
Tomer Hemed,Brighton+and+Hove,30,CF,1,2.5,253,5.0,0.40%,0,4.0,Israel,0,4,3,0,0
Lee Grant,Stoke+City,34,GK,4,1.0,480,4.5,1.20%,106,1.0,England,0,6,15,0,1
Beram Kayal,Brighton+and+Hove,29,CM,2,1.25,167,4.5,0.30%,0,4.0,Israel,0,4,3,0,0
Kurt Zouma,Chelsea,22,CB,3,15.0,723,5.5,0.80%,15,2.0,France,0,2,5,1,0
Tammy Abraham,Swansea,19,CF,1,8.0,1227,5.5,3.30%,0,1.0,England,0,1,16,0,0
Darren Randolph,West+Ham,30,GK,4,2.5,459,4.5,0.40%,69,2.0,Ireland,0,4,20,0,0
Henrikh Mkhitaryan,Manchester+United,28,AM,1,35.0,3312,8.0,4.50%,73,4.0,Armenia,0,4,12,1,1
David de Gea,Manchester+United,26,GK,4,40.0,2126,5.5,26.10%,136,2.0,Spain,0,3,12,1,0
Kevin Wimmer,Tottenham,24,CB,3,7.0,355,4.5,0.30%,2,2.0,Austria,0,2,17,1,0
Lys Mousset,Bournemouth,21,CF,1,4.0,131,5.0,0.10%,14,2.0,France,0,1,2,0,0
Jason McCarthy,Southampton,21,CB,3,0.25,53,4.5,0.10%,0,1.0,England,0,1,14,0,0
Jose Fonte,West+Ham,33,CB,3,7.0,867,5.0,2.10%,98,2.0,Portugal,0,5,20,0,1
Tom Davies,Everton,19,CM,2,8.0,1354,5.5,1.00%,63,1.0,England,0,1,7,0,0
Valon Behrami,Watford,32,DM,2,2.5,237,4.5,0.40%,48,2.0,Switzerland,0,5,18,0,0
Sebastian Prodl,Watford,30,CB,3,4.0,169,4.5,0.80%,67,2.0,Austria,0,4,18,0,0
David Ospina,Arsenal,28,GK,4,7.0,544,5.0,0.20%,2,3.0,Colombia,0,4,1,1,0
Matthew Taylor,Burnley,35,LM,2,0.25,255,4.5,0.40%,0,1.0,England,0,6,4,0,0
Kevin Mirallas,Everton,29,RW,1,13.0,417,6.5,3.20%,119,2.0,Belgium,0,4,7,0,0
Craig Cathcart,Watford,28,CB,3,4.0,128,4.5,0.00%,31,2.0,Northern Ireland,0,4,18,0,0
Eric Dier,Tottenham,23,DM,2,25.0,1239,5.0,3.50%,93,1.0,England,0,2,17,1,0
Shinji Okazaki,Leicester+City,31,CF,1,7.0,607,5.5,1.20%,63,4.0,Japan,0,4,9,0,0
Åukasz FabiaÅ„ski,Swansea,32,GK,4,9.0,285,4.5,6.20%,116,2.0,Poland,0,5,16,0,0
Jose Holebas,Watford,33,LB,3,2.0,345,5.0,0.60%,87,2.0,Greece,0,5,18,0,0
Ashley Williams,Everton,32,CB,3,8.0,599,5.5,4.70%,127,2.0,Wales,0,5,7,0,1
Julian Speroni,Crystal+Palace,38,GK,4,0.25,188,4.0,2.00%,0,3.0,Argentina,0,6,6,0,0
Christian Atsu,Newcastle+United,25,RW,1,5.0,641,5.0,2.10%,0,4.0,Ghana,0,3,13,0,0
Cuco Martina,Everton,27,RB,3,2.0,232,4.5,0.40%,31,2.0,Curacao,0,3,7,0,0
Islam Slimani,Leicester+City,29,CF,1,25.0,1581,7.0,0.70%,83,4.0,Algeria,0,4,9,0,1
Oriol Romeu,Southampton,25,DM,2,10.0,476,4.5,4.20%,80,2.0,Spain,0,3,14,0,0
Aaron Lennon,Everton,30,RW,1,5.0,504,5.5,0.20%,22,1.0,England,0,4,7,0,0
Victor Moses,Chelsea,26,RM,2,18.0,2537,6.5,0.20%,105,4.0,Nigeria,0,3,5,1,0
Marouane Fellaini,Manchester+United,29,CM,2,12.0,1498,5.0,0.20%,48,2.0,Belgium,0,4,12,1,0
Mousa Dembele,Tottenham,30,CM,2,18.0,1161,5.0,1.80%,76,2.0,Belgium,0,4,17,1,0
Wayne Rooney,Everton,31,SS,1,15.0,7664,7.5,20.90%,76,1.0,England,0,4,7,0,0
Mohamed Diame,Newcastle+United,30,CM,2,6.0,339,5.0,0.50%,0,4.0,Senegal,0,4,13,0,0
Muhamed Besic,Everton,24,DM,2,5.0,238,4.5,0.20%,0,2.0,Germany,0,2,7,0,0
Danny Simpson,Leicester+City,30,RB,3,5.0,428,4.5,5.50%,85,1.0,England,0,4,9,0,0
Jesus Gamez,Newcastle+United,32,RB,3,2.5,186,4.0,2.30%,0,2.0,Spain,0,5,13,0,0
Asmir Begovic,Bournemouth,30,GK,4,8.0,697,4.5,9.30%,2,2.0,Bosnia,0,4,2,0,0
Tom Cleverley,Watford,27,CM,2,8.0,703,5.0,0.20%,55,1.0,England,0,3,18,0,0
Francis Coquelin,Arsenal,26,DM,2,15.0,549,4.5,1.70%,52,2.0,France,0,3,1,1,0
Ahmed Musa,Leicester+City,24,CF,1,17.0,742,6.5,1.50%,39,4.0,Nigeria,0,2,9,0,1
Marko ArnautoviÄ‡,Stoke+City,28,LW,1,15.0,579,7.0,0.70%,117,1.0,England,0,4,15,0,0
Jack Butland,Stoke+City,24,GK,4,15.0,402,5.0,2.80%,20,1.0,England,0,2,15,0,0
Jiri Skalak,Brighton+and+Hove,25,LW,1,1.5,87,5.0,0.10%,0,2.0,Czech Republic,0,3,3,0,0
Wayne Routledge,Swansea,32,LW,1,2.5,264,5.5,0.10%,74,1.0,England,0,5,16,0,0
Marcos Rojo,Manchester+United,27,CB,3,18.0,1063,5.5,0.10%,77,3.0,Argentina,0,3,12,1,0
Ashley Young,Manchester+United,32,LM,2,5.0,936,5.0,0.00%,26,1.0,England,0,5,12,1,0
Oliver McBurnie,Swansea,21,CF,1,0.25,149,4.5,0.70%,5,2.0,Scotland,0,1,16,0,0
Ramiro Funes Mori,Everton,26,CB,3,12.0,460,5.0,0.10%,69,3.0,Argentina,0,3,7,0,0
James Tomkins,Crystal+Palace,28,CB,3,7.0,208,4.5,2.00%,75,1.0,England,0,4,6,0,1
Jonjo Shelvey,Newcastle+United,25,CM,2,11.0,747,5.5,2.50%,0,1.0,England,0,3,13,0,0
Antonio Rudiger,Chelsea,24,CB,3,25.0,454,6.0,6.40%,0,2.0,Germany,1,2,5,1,0
Ademola Lookman,Everton,19,LW,1,5.0,1387,5.5,0.30%,16,1.0,England,0,1,7,0,0
Luke Shaw,Manchester+United,22,LB,3,20.0,947,5.0,0.40%,45,1.0,England,0,2,12,1,0
Virgil van Dijk,Southampton,26,CB,3,30.0,1102,5.5,4.00%,75,2.0,Netherlands,0,3,14,0,0
Leighton Baines,Everton,32,LB,3,12.0,491,6.0,10.00%,135,1.0,England,0,5,7,0,0
Yohan Benalouane,Leicester+City,30,CB,3,1.0,305,4.5,0.10%,27,4.0,Tunisia,0,4,9,0,0
Joe Allen,Stoke+City,27,CM,2,15.0,523,5.5,6.00%,118,2.0,Wales,0,3,15,0,1
Tommy Smith,Huddersfield,25,RB,3,2.0,65,5.0,1.10%,0,1.0,England,0,3,8,0,0
Damien Delaney,Crystal+Palace,36,CB,3,1.0,195,4.5,0.60%,51,2.0,Ireland,0,6,6,0,0
Marko Grujic,Liverpool,21,CM,2,5.0,615,4.5,0.20%,4,2.0,Serbia,0,1,10,1,0
Uwe Hunemeier,Brighton+and+Hove,31,CB,3,1.5,88,4.0,8.00%,0,2.0,Germany,0,4,3,0,0
Sean Scannell,Huddersfield,26,RW,1,0.5,85,4.5,0.10%,0,2.0,Ireland,0,3,8,0,0
Marc Pugh,Bournemouth,30,LW,1,2.0,140,5.0,0.10%,64,1.0,England,0,4,2,0,0
Stephen Kingsley,Swansea,22,LB,3,0.75,168,4.5,0.20%,29,2.0,Scotland,0,2,16,0,0
Vincent Kompany,Manchester+City,31,CB,3,22.0,935,6.0,6.60%,57,2.0,Belgium,0,4,11,1,0
Thibaut Courtois,Chelsea,25,GK,4,40.0,1260,5.5,18.50%,141,2.0,Belgium,0,3,5,1,0
James Morrison,West+Brom,31,CM,2,5.0,238,5.5,0.00%,84,2.0,Scotland,0,4,19,0,0
Roberto Pereyra,Watford,26,AM,1,15.0,398,6.0,0.10%,43,3.0,Argentina,0,3,18,0,1
Fernandinho,Manchester+City,32,DM,2,18.0,595,5.0,0.80%,78,3.0,Brazil,0,5,11,1,0
Michail Antonio,West+Ham,27,RW,1,18.0,1142,7.5,0.50%,132,1.0,England,0,3,20,0,0
Dan Gosling,Bournemouth,27,CM,2,3.0,184,5.0,0.10%,49,1.0,England,0,3,2,0,0
Steven Fletcher,Stoke+City,30,CF,1,3.0,522,5.0,1.00%,103,2.0,Scotland,0,4,15,0,0
Leroy Fer,Swansea,27,CM,2,8.0,411,5.5,0.60%,95,2.0,Netherlands,0,3,16,0,1
Dele Alli,Tottenham,21,CM,2,45.0,4626,9.5,38.60%,225,1.0,England,0,1,17,1,0
Jack Cork,Burnley,28,DM,2,5.0,204,4.5,0.50%,50,1.0,England,0,4,4,0,0
Vincent Janssen,Tottenham,23,CF,1,13.0,1135,7.5,0.10%,55,2.0,Netherlands,0,2,17,1,1
Ross Barkley,Everton,23,AM,1,25.0,1413,7.5,0.70%,144,1.0,England,0,2,7,0,0
Nathaniel Clyne,Liverpool,26,RB,3,21.0,602,5.5,4.50%,129,1.0,England,0,3,10,1,0
Aaron Cresswell,West+Ham,27,LB,3,12.0,380,5.0,1.30%,60,1.0,England,0,3,20,0,0
Mathias Jorgensen,Huddersfield,27,CB,3,2.5,107,4.5,0.20%,0,2.0,Denmark,0,3,8,0,0
Carl Jenkinson,Arsenal,25,RB,3,5.0,561,4.5,0.40%,2,1.0,England,0,3,1,1,0
Andre Gray,Burnley,26,CF,1,10.0,687,6.5,1.70%,108,1.0,England,0,3,4,0,0
Dejan Lovren,Liverpool,28,CB,3,17.0,708,5.5,1.30%,106,2.0,Croatia,0,4,10,1,0
Trent Alexander-Arnold,Liverpool,18,RB,3,1.5,327,4.5,0.30%,15,2.0,England,0,1,10,1,0
Harry Bunn,Huddersfield,24,LW,1,0.5,85,4.5,0.10%,0,1.0,England,0,2,8,0,0
Lascelles,Newcastle+United,27,CB,3,5.0,400,4.5,3.60%,0,1.0,England,0,3,13,0,0
Victor Wanyama,Tottenham,26,DM,2,25.0,1002,5.0,3.10%,103,4.0,Kenya,0,3,17,1,1
Matteo Darmian,Manchester+United,27,RB,3,12.0,1640,5.5,0.30%,70,2.0,Italy,0,3,12,1,0
Johann Berg Gudmundsson,Burnley,26,RW,1,2.5,180,5.0,0.10%,47,2.0,Iceland,0,3,4,0,1
Massadio Haidara,Newcastle+United,24,LB,3,1.5,114,4.0,0.50%,0,2.0,France,0,2,13,0,0
Aaron Ramsey,Arsenal,26,CM,2,35.0,1040,7.0,5.10%,56,1.0,Wales,0,3,1,1,0
Geoff Cameron,Stoke+City,32,CB,3,3.0,260,4.5,0.50%,58,4.0,United States,0,5,15,0,0
Ramadan Sobhi,Stoke+City,20,LW,1,5.0,461,5.0,1.10%,36,4.0,Egypt,0,1,15,0,1
Mark Hudson,Huddersfield,35,CB,3,0.5,70,4.0,1.40%,0,1.0,England,0,6,8,0,0
Bakary Sako,Crystal+Palace,29,LW,1,6.0,226,5.0,0.10%,7,4.0,Mali,0,4,6,0,0
Kieran Gibbs,Arsenal,27,LB,3,10.0,489,5.0,0.50%,45,1.0,England,0,3,1,1,0
Romelu Lukaku,Manchester+United,24,CF,1,50.0,3727,11.5,45.00%,221,2.0,Belgium,0,2,12,1,0
Hugo Lloris,Tottenham,30,GK,4,24.0,847,5.5,12.60%,143,2.0,France,0,4,17,1,0
Ben Davies,Tottenham,24,LB,3,12.0,396,5.5,1.80%,90,2.0,Wales,0,2,17,1,0
Brad Smith,Bournemouth,23,LB,3,2.0,297,4.0,3.30%,4,4.0,Australia,0,2,2,0,0
Maarten Stekelenburg,Everton,34,GK,4,2.0,623,4.5,0.30%,68,2.0,Netherlands,0,6,7,0,1
Jack Payne,Huddersfield,25,CM,2,0.25,81,4.5,0.10%,0,1.0,England,0,3,8,0,0
